thresh_nan,thresh_quant,thresh_corr,lambda,gamma,max_iter,gen_err
0.4,0.9,0.8,0.0,0.001,3000,0.5023758312726765
0.4,0.9,0.8,0.0,0.01,3000,0.46859862910952277
0.4,0.9,0.8,0.0,0.1,3000,0.46392485156501095
0.4,0.9,0.8,0.001,0.001,3000,0.5029642315944323
0.4,0.9,0.8,0.001,0.01,3000,0.4705471673904752
0.4,0.9,0.8,0.001,0.1,3000,0.4669795504818473
0.4,0.9,0.8,0.01,0.001,3000,0.5080953643755911
0.4,0.9,0.8,0.01,0.01,3000,0.4849215428375378
0.4,0.9,0.8,0.01,0.1,3000,0.4844404139631533
0.4,0.9,0.8,0.1,0.001,3000,0.5469360842190465
0.4,0.9,0.8,0.1,0.01,3000,0.5441825140426244
0.4,0.9,0.8,0.1,0.1,3000,0.5441826331098107
0.4,0.9,0.85,0.0,0.001,3000,0.4997882713266262
0.4,0.9,0.85,0.0,0.01,3000,0.4687367077470529
0.4,0.9,0.85,0.0,0.1,3000,0.46395195677201506
0.4,0.9,0.85,0.001,0.001,3000,0.5003658018098686
0.4,0.9,0.85,0.001,0.01,3000,0.47058918191279514
0.4,0.9,0.85,0.001,0.1,3000,0.4669361082499048
0.4,0.9,0.85,0.01,0.001,3000,0.5054038412633798
0.4,0.9,0.85,0.01,0.01,3000,0.48425812342891905
0.4,0.9,0.85,0.01,0.1,3000,0.4837645145433805
0.4,0.9,0.85,0.1,0.001,3000,0.5436741769365258
0.4,0.9,0.85,0.1,0.01,3000,0.5412216571065864
0.4,0.9,0.85,0.1,0.1,3000,0.5412217571574722
0.4,0.9,0.9,0.0,0.001,3000,0.49911592952444706
0.4,0.9,0.9,0.0,0.01,3000,0.4687441638567133
0.4,0.9,0.9,0.0,0.1,3000,0.4639395004890485
0.4,0.9,0.9,0.001,0.001,3000,0.4996796943818785
0.4,0.9,0.9,0.001,0.01,3000,0.4705650341860485
0.4,0.9,0.9,0.001,0.1,3000,0.46689193476561436
0.4,0.9,0.9,0.01,0.001,3000,0.5045990109689977
0.4,0.9,0.9,0.01,0.01,3000,0.4839825429357325
0.4,0.9,0.9,0.01,0.1,3000,0.4834836771569478
0.4,0.9,0.9,0.1,0.001,3000,0.5420714090917218
0.4,0.9,0.9,0.1,0.01,3000,0.5397064293678755
0.4,0.9,0.9,0.1,0.1,3000,0.5397066480216028
0.4,0.95,0.8,0.0,0.001,3000,0.5083937672165926
0.4,0.95,0.8,0.0,0.01,3000,0.4720059712540163
0.4,0.95,0.8,0.0,0.1,3000,0.4648019687044518
